TcBrA4_0160600	TcBrA4_Contig0	16816	18647	-	retrotransposon hot spot protein (RHS, pseudogene), putative
TcBrA4_0160630	TcBrA4_Contig0	67920	68430	+	retrotransposon hot spot protein (RHS, pseudogene), putative
TcBrA4_0156830	TcBrA4_Contig0	129164	131866	-	retrotransposon hot spot (RHS) protein, putative
TcBrA4_0158120	TcBrA4_Contig0	68655	69076	+	retrotransposon hot spot protein (RHS), putative (fragment)
TcBrA4_0158140	TcBrA4_Contig0	59676	62371	+	retrotransposon hot spot (RHS) protein, putative
TcBrA4_0160610	TcBrA4_Contig0	49869	51707	+	retrotransposon hot spot protein (RHS, pseudogene), putative
TcBrA4_0158110	TcBrA4_Contig0	114219	116763	-	retrotransposon hot spot (RHS) protein, putative
TcBrA4_0160640	TcBrA4_Contig0	67287	67866	-	retrotransposon hot spot protein (RHS, pseudogene), putative
TcBrA4_0158100	TcBrA4_Contig0	6938	8829	-	retrotransposon hot spot (RHS) protein, putative
TcBrA4_0160620	TcBrA4_Contig0	100624	102474	+	retrotransposon hot spot protein (RHS, pseudogene), putative
TcBrA4_0158130	TcBrA4_Contig0	113563	113993	-	retrotransposon hot spot protein (RHS), putative (fragment)
TcBrA4_0002570	TcBrA4_Contig104	80720	81541	-	retrotransposon hot spot (RHS) protein, putative
TcBrA4_0160680	TcBrA4_Contig104	124919	125296	-	retrotransposon hot spot protein (RHS, pseudogene), putative
TcBrA4_0160710	TcBrA4_Contig104	126085	126557	-	retrotransposon hot spot protein (RHS, pseudogene), putative
TcBrA4_0157270	TcBrA4_Contig104	125534	125965	-	retrotransposon hot spot (RHS) protein, putative
TcBrA4_0160690	TcBrA4_Contig104	95123	95497	+	retrotransposon hot spot protein (RHS, pseudogene), putative
TcBrA4_0158190	TcBrA4_Contig104	94467	94896	+	retrotransposon hot spot protein (RHS), putative (fragment)
TcBrA4_0160700	TcBrA4_Contig104	93875	94347	+	retrotransposon hot spot protein (RHS, pseudogene), putative
TcBrA4_0157300	TcBrA4_Contig10	10839	12719	+	retrotransposon hot spot (RHS) protein, putative
TcBrA4_0158310	TcBrA4_Contig10	10300	10753	+	retrotransposon hot spot protein (RHS), putative (fragment)
TcBrA4_0157310	TcBrA4_Contig116	2945	6103	-	retrotransposon hot spot (RHS) protein, putative
TcBrA4_0157320	TcBrA4_Contig116	13869	16757	-	retrotransposon hot spot (RHS) protein, putative
TcBrA4_0156850	TcBrA4_Contig118	20531	23233	-	retrotransposon hot spot (RHS) protein, putative
TcBrA4_0160820	TcBrA4_Contig118	13477	13843	-	retrotransposon hot spot protein (RHS, pseudogene), putative
TcBrA4_0158320	TcBrA4_Contig118	14131	16265	-	retrotransposon hot spot (RHS) protein, putative
TcBrA4_0160990	TcBrA4_Contig137	497726	499630	+	retrotransposon hot spot protein (RHS, pseudogene), putative
TcBrA4_0156910	TcBrA4_Contig137	447842	449737	-	retrotransposon hot spot (RHS) protein, putative
TcBrA4_0157380	TcBrA4_Contig137	480849	482741	+	retrotransposon hot spot (RHS) protein, putative
TcBrA4_0161010	TcBrA4_Contig137	358538	358832	-	retrotransposon hot spot protein (RHS, pseudogene), putative
TcBrA4_0158480	TcBrA4_Contig137	527394	529276	+	retrotransposon hot spot (RHS) protein, putative
TcBrA4_0161000	TcBrA4_Contig137	82261	84159	-	retrotransposon hot spot protein (RHS, pseudogene), putative
TcBrA4_0160980	TcBrA4_Contig137	541401	543299	+	retrotransposon hot spot protein (RHS, pseudogene), putative
TcBrA4_0157780	TcBrA4_Contig137	601377	602849	-	retrotransposon hot spot (RHS) protein, putative
TcBrA4_0156900	TcBrA4_Contig137	563705	565600	+	retrotransposon hot spot (RHS) protein, putative
TcBrA4_0160970	TcBrA4_Contig137	706943	708841	-	retrotransposon hot spot protein (RHS, pseudogene), putative
TcBrA4_0161260	TcBrA4_Contig14	817014	817962	-	retrotransposon hot spot protein (RHS, pseudogene), putative
TcBrA4_0158690	TcBrA4_Contig14	716712	719274	+	retrotransposon hot spot (RHS) protein, putative
TcBrA4_0158660	TcBrA4_Contig14	757766	761001	+	retrotransposon hot spot (RHS) protein, putative
TcBrA4_0161280	TcBrA4_Contig14	796928	797283	+	retrotransposon hot spot protein (RHS, pseudogene), putative
TcBrA4_0161250	TcBrA4_Contig14	198779	199112	-	retrotransposon hot spot protein (RHS, pseudogene), putative
TcBrA4_0161230	TcBrA4_Contig14	816383	816766	-	retrotransposon hot spot protein (RHS, pseudogene), putative
TcBrA4_0161210	TcBrA4_Contig14	774189	774570	+	retrotransposon hot spot protein (RHS, pseudogene), putative
TcBrA4_0158670	TcBrA4_Contig14	761732	763562	+	retrotransposon hot spot (RHS) protein, putative
TcBrA4_0161270	TcBrA4_Contig14	795692	796642	+	retrotransposon hot spot protein (RHS, pseudogene), putative
TcBrA4_0158680	TcBrA4_Contig14	199393	201896	-	retrotransposon hot spot (RHS) protein, putative
TcBrA4_0161240	TcBrA4_Contig14	719523	719918	+	retrotransposon hot spot protein (RHS, pseudogene), putative
TcBrA4_0161220	TcBrA4_Contig14	805363	807125	-	retrotransposon hot spot protein (RHS, pseudogene), putative
TcBrA4_0161200	TcBrA4_Contig14	763805	764193	+	retrotransposon hot spot protein (RHS, pseudogene), putative
TcBrA4_0157400	TcBrA4_Contig14	771426	773939	+	retrotransposon hot spot (RHS) protein, putative
