TcYC6_0133030	TcYC6_Contig0	868324	869494	-	trans-sialidase, Group IV, putative
TcYC6_0139190	TcYC6_Contig0	2919985	2923295	-	trans-sialidase (pseudogene), putative
TcYC6_0128210	TcYC6_Contig0	824483	827647	-	trans-sialidase, Group VIII, putative
TcYC6_0136870	TcYC6_Contig0	687741	687953	-	trans-sialidase, putative (fragment)
TcYC6_0137860	TcYC6_Contig0	2360080	2360285	+	trans-sialidase, putative (fragment)
TcYC6_0139210	TcYC6_Contig0	687950	689985	-	trans-sialidase (pseudogene), putative
TcYC6_0128460	TcYC6_Contig0	22727	25171	-	trans-sialidase, Group V, putative
TcYC6_0139120	TcYC6_Contig0	1811316	1814592	-	trans-sialidase (pseudogene), putative
TcYC6_0132980	TcYC6_Contig0	966793	967963	+	trans-sialidase, Group IV, putative
TcYC6_0128480	TcYC6_Contig0	2167138	2169540	-	trans-sialidase, Group V, putative
TcYC6_0139160	TcYC6_Contig0	698995	699931	-	trans-sialidase (pseudogene), putative
TcYC6_0133070	TcYC6_Contig0	125233	126161	-	trans-sialidase, Group II, putative
TcYC6_0128500	TcYC6_Contig0	2386157	2388577	+	trans-sialidase, Group V, putative
TcYC6_0136790	TcYC6_Contig0	45576	45778	-	trans-sialidase, putative (fragment)
TcYC6_0128340	TcYC6_Contig0	2417058	2419538	+	trans-sialidase, Group II, putative
TcYC6_0041370	TcYC6_Contig0	2805777	2806238	-	trans-sialidase, pseudogene
TcYC6_0139300	TcYC6_Contig0	551487	553838	+	trans-sialidase (pseudogene), putative
TcYC6_0139130	TcYC6_Contig0	2638131	2638437	-	trans-sialidase (pseudogene), putative
TcYC6_0128360	TcYC6_Contig0	2672869	2675307	+	trans-sialidase, Group V, putative
TcYC6_0128300	TcYC6_Contig0	1170138	1172795	+	trans-sialidase, Group V, putative
TcYC6_0135710	TcYC6_Contig0	2636025	2637190	-	trans-sialidase, Group IV, putative
TcYC6_0136820	TcYC6_Contig0	1634105	1634466	+	trans-sialidase, putative (fragment)
TcYC6_0132000	TcYC6_Contig0	1248568	1250961	-	trans-sialidase, Group V, putative
TcYC6_0128320	TcYC6_Contig0	2800338	2802704	-	trans-sialidase, Group V, putative
TcYC6_0139090	TcYC6_Contig0	465865	466629	-	trans-sialidase (pseudogene), putative
TcYC6_0128270	TcYC6_Contig0	1409207	1411567	-	trans-sialidase, Group V, putative
TcYC6_0139140	TcYC6_Contig0	1344989	1345300	+	trans-sialidase (pseudogene), putative
TcYC6_0132830	TcYC6_Contig0	2884680	2887005	+	trans-sialidase, Group V, putative
TcYC6_0133050	TcYC6_Contig0	43589	44610	-	trans-sialidase, Group II, putative
TcYC6_0139290	TcYC6_Contig0	692438	694090	-	trans-sialidase (pseudogene), putative
TcYC6_0128260	TcYC6_Contig0	2024059	2026716	+	trans-sialidase, Group V, putative
TcYC6_0136750	TcYC6_Contig0	411116	411881	+	trans-sialidase, putative (fragment)
TcYC6_0132870	TcYC6_Contig0	1206427	1208786	-	trans-sialidase, Group V, putative
TcYC6_0131990	TcYC6_Contig0	2127858	2130323	-	trans-sialidase, Group V, putative
TcYC6_0128380	TcYC6_Contig0	2350593	2353079	+	trans-sialidase, Group II, putative
TcYC6_0136880	TcYC6_Contig0	2361055	2361656	+	trans-sialidase, putative (fragment)
TcYC6_0128240	TcYC6_Contig0	2009930	2012590	+	trans-sialidase, Group V, putative
TcYC6_0128200	TcYC6_Contig0	1085884	1088472	+	trans-sialidase, Group V, putative
