TcBrA4_0140160	TcBrA4_Contig0	120188	123343	-	trans-sialidase, Group VIII, putative
TcBrA4_0149000	TcBrA4_Contig0	95143	95375	+	trans-sialidase, putative (fragment)
TcBrA4_0143500	TcBrA4_Contig0	123711	124199	-	trans-sialidase, putative
TcBrA4_0143520	TcBrA4_Contig0	137687	138199	-	trans-sialidase, putative
TcBrA4_0150820	TcBrA4_Contig0	135502	136116	-	trans-sialidase (pseudogene), putative
TcBrA4_0144770	TcBrA4_Contig0	3342	5765	-	trans-sialidase, Group II, putative
TcBrA4_0148990	TcBrA4_Contig0	137098	137322	-	trans-sialidase, putative (fragment)
TcBrA4_0144750	TcBrA4_Contig0	125610	127881	-	trans-sialidase, Group II, putative
TcBrA4_0143490	TcBrA4_Contig0	44282	46153	+	trans-sialidase, Group II, putative
TcBrA4_0144760	TcBrA4_Contig0	139668	142138	-	trans-sialidase, Group II, putative
TcBrA4_0143510	TcBrA4_Contig0	24603	25115	-	trans-sialidase, putative
TcBrA4_0143480	TcBrA4_Contig0	26530	29055	-	trans-sialidase, Group II, putative
TcBrA4_0143460	TcBrA4_Contig0	22364	24235	-	trans-sialidase, Group II, putative
TcBrA4_0143470	TcBrA4_Contig0	90411	92933	+	trans-sialidase, Group II, putative
TcBrA4_0150830	TcBrA4_Contig0	94576	94771	+	trans-sialidase (pseudogene), putative
TcBrA4_0150810	TcBrA4_Contig0	96352	96967	+	trans-sialidase (pseudogene), putative
TcBrA4_0144790	TcBrA4_Contig102	12362	15041	+	trans-sialidase, Group VIII, putative
TcBrA4_0150890	TcBrA4_Contig104	141074	145498	+	trans-sialidase (pseudogene), putative
TcBrA4_0150070	TcBrA4_Contig104	42990	43181	-	trans-sialidase, putative (fragment)
TcBrA4_0150880	TcBrA4_Contig104	46229	51084	+	trans-sialidase (pseudogene), putative
TcBrA4_0150870	TcBrA4_Contig104	41075	42399	-	trans-sialidase (pseudogene), putative
TcBrA4_0150900	TcBrA4_Contig105	1	4304	+	trans-sialidase (pseudogene), putative
TcBrA4_0144810	TcBrA4_Contig105	24040	26761	+	trans-sialidase, putative
TcBrA4_0150910	TcBrA4_Contig105	17616	22428	+	trans-sialidase (pseudogene), putative
TcBrA4_0144800	TcBrA4_Contig105	5954	11438	+	trans-sialidase, putative
TcBrA4_0140280	TcBrA4_Contig10	4409	6814	+	trans-sialidase, Group V, putative
TcBrA4_0144950	TcBrA4_Contig10	14402	16823	-	trans-sialidase, Group V, putative
TcBrA4_0150120	TcBrA4_Contig111	543	730	+	trans-sialidase, putative (fragment)
TcBrA4_0151130	TcBrA4_Contig112	35264	35767	+	trans-sialidase (pseudogene), putative
TcBrA4_0151110	TcBrA4_Contig112	35827	40664	+	trans-sialidase (pseudogene), putative
TcBrA4_0151100	TcBrA4_Contig112	58061	62915	-	trans-sialidase (pseudogene), putative
TcBrA4_0151120	TcBrA4_Contig112	62976	67852	-	trans-sialidase (pseudogene), putative
TcBrA4_0151180	TcBrA4_Contig114	76863	78480	+	trans-sialidase (pseudogene), putative
TcBrA4_0144970	TcBrA4_Contig114	62601	64947	+	trans-sialidase, Group II, putative
TcBrA4_0140290	TcBrA4_Contig114	19498	22329	+	trans-sialidase, Group VI, putative
TcBrA4_0151170	TcBrA4_Contig114	11189	12803	+	trans-sialidase (pseudogene), putative
TcBrA4_0143620	TcBrA4_Contig114	6175	8901	+	trans-sialidase, Group V, putative
TcBrA4_0151150	TcBrA4_Contig114	78488	81481	+	trans-sialidase (pseudogene), putative
TcBrA4_0144980	TcBrA4_Contig114	47450	50055	+	trans-sialidase, Group V, putative
TcBrA4_0144960	TcBrA4_Contig114	57812	60606	+	trans-sialidase, Group VI, putative
TcBrA4_0151160	TcBrA4_Contig114	12811	15828	+	trans-sialidase (pseudogene), putative
TcBrA4_0151140	TcBrA4_Contig114	34584	35902	+	trans-sialidase (pseudogene), putative
TcBrA4_0140300	TcBrA4_Contig114	71807	74632	+	trans-sialidase, Group VI, putative
TcBrA4_0151190	TcBrA4_Contig115	1	1276	+	trans-sialidase (pseudogene), putative
TcBrA4_0144990	TcBrA4_Contig116	9457	12582	-	trans-sialidase, Group VIII, putative
TcBrA4_0145000	TcBrA4_Contig116	1	1656	-	trans-sialidase, Group VIII, putative
TcBrA4_0151260	TcBrA4_Contig120	25950	27567	+	trans-sialidase (pseudogene), putative
TcBrA4_0151210	TcBrA4_Contig120	14391	16504	+	trans-sialidase (pseudogene), putative
TcBrA4_0148620	TcBrA4_Contig120	33892	34715	-	trans-sialidase, Group VI, putative
TcBrA4_0145050	TcBrA4_Contig120	43026	45964	-	trans-sialidase, Group VI, putative
TcBrA4_0151250	TcBrA4_Contig120	66006	67626	-	trans-sialidase (pseudogene), putative
TcBrA4_0151240	TcBrA4_Contig120	27575	30599	+	trans-sialidase (pseudogene), putative
TcBrA4_0140310	TcBrA4_Contig120	20895	23696	+	trans-sialidase, Group V, putative
TcBrA4_0145010	TcBrA4_Contig120	3017	5190	+	trans-sialidase, Group II, putative
TcBrA4_0151220	TcBrA4_Contig120	49530	51527	-	trans-sialidase (pseudogene), putative
TcBrA4_0145020	TcBrA4_Contig120	69676	72095	-	trans-sialidase, Group II, putative
TcBrA4_0151230	TcBrA4_Contig120	62992	65998	-	trans-sialidase (pseudogene), putative
TcBrA4_0145040	TcBrA4_Contig120	56771	59630	-	trans-sialidase, Group VI, putative
TcBrA4_0151200	TcBrA4_Contig120	39084	41168	-	trans-sialidase (pseudogene), putative
TcBrA4_0145030	TcBrA4_Contig120	9554	12443	+	trans-sialidase, Group VI, putative
TcBrA4_0143640	TcBrA4_Contig125	37550	40222	+	trans-sialidase, Group V, putative
TcBrA4_0145140	TcBrA4_Contig125	195802	198433	+	trans-sialidase, Group V, putative
TcBrA4_0150150	TcBrA4_Contig125	218530	218715	+	trans-sialidase, putative (fragment)
TcBrA4_0151380	TcBrA4_Contig125	109754	114594	+	trans-sialidase (pseudogene), putative
TcBrA4_0140390	TcBrA4_Contig125	159031	161604	-	trans-sialidase, Group V, putative
TcBrA4_0140370	TcBrA4_Contig125	224052	226721	+	trans-sialidase, Group V, putative
